pr_id,type_estate,district,posted_date,area,price,legal_document,interior,num_bedrooms,num_bathrooms,num_floors,entrance,frontage,price_per_sqm
39827429,2,10,2024-05-12,43.0,5680000000.0,2,3,4,5,4,2.0,5.0,132093023.0
39809425,2,10,2024-05-10,32.0,4450000000.0,2,3,3,4,5,6.0,5.1,139062500.0
39815546,0,11,2024-05-10,165.0,30000000000.0,2,2,4,4,4,11.5,9.0,181818182.0
39763781,2,10,2024-05-06,30.0,4400000000.0,2,0,3,3,5,6.0,5.0,146666667.0
39828326,2,7,2024-05-12,38.0,4200000000.0,2,1,4,5,5,6.0,3.5,110526316.0
39764439,2,7,2024-05-06,35.0,5700000000.0,2,3,4,5,5,6.0,5.0,162857143.0
39824395,2,7,2024-05-11,38.0,7200000000.0,2,3,3,4,5,6.0,5.0,189473684.0
39736403,2,15,2024-05-13,50.0,8000000000.0,2,3,4,4,5,6.0,5.0,160000000.0
39815686,2,7,2024-05-10,31.0,6400000000.0,2,1,3,4,5,6.0,3.5,206451613.0
39763036,2,10,2024-05-06,30.0,3900000000.0,2,1,3,4,5,6.0,5.0,130000000.0
39840512,1,7,2024-05-13,126.0,55000000000.0,2,3,4,5,5,6.0,9.0,436507937.0
39840510,1,15,2024-05-13,75.0,25000000000.0,2,3,6,6,8,9.0,4.0,333333333.0
39348353,1,7,2024-05-13,47.0,18900000000.0,2,3,3,5,7,30.0,5.0,402127660.0
39816427,2,4,2024-05-10,100.0,17800000000.0,2,3,4,3,4,6.0,5.5,178000000.0
39338808,2,1,2024-05-13,69.0,17500000000.0,2,3,5,4,5,9.0,5.7,253623188.0
39826920,2,12,2024-05-12,52.5,6200000000.0,2,0,4,4,5,3.3,5.0,118095238.0
39840492,1,7,2024-05-13,32.0,18900000000.0,2,3,2,2,3,6.0,6.3,590625000.0
39298155,2,7,2024-05-13,120.0,19800000000.0,2,3,5,4,5,7.0,5.0,165000000.0
39837817,1,29,2024-05-13,70.0,24800000000.0,1,1,6,4,5,6.0,4.5,354285714.0
39249472,2,1,2024-05-13,69.0,17500000000.0,2,3,4,4,4,8.0,5.7,253623188.0
39840505,0,10,2024-05-13,63.0,13797000000.0,2,1,6,6,4,12.0,5.0,219000000.0
39840409,1,11,2024-05-13,47.0,5150000000.0,2,3,3,3,3,6.0,4.2,109574468.0
39599915,2,26,2024-05-13,81.0,13950000000.0,1,1,3,4,4,6.0,5.0,172222222.0
39562275,2,4,2024-05-13,60.0,19800000000.0,2,0,4,4,5,6.0,5.0,330000000.0
39104992,1,10,2024-05-06,180.0,59000000000.0,1,1,4,4,3,6.0,10.0,327777778.0
39722758,2,4,2024-05-13,90.0,10300000000.0,2,1,3,4,5,5.0,5.0,114444444.0
39410094,3,11,2024-05-06,130.0,33000000000.0,2,2,10,10,7,60.0,6.0,253846154.0
39840166,2,15,2024-05-13,46.0,6350000000.0,1,1,4,4,5,6.0,5.0,138043478.0
39667936,3,24,2024-05-11,76.0,10000000000.0,2,1,6,6,5,33.0,5.0,131578947.0
39636045,0,11,2024-05-11,198.0,41900000000.0,2,2,5,5,4,25.0,9.0,211616162.0
39766687,0,26,2024-05-06,220.0,90000000000.0,2,1,6,6,3,25.0,10.0,409090909.0
39793456,0,15,2024-05-08,110.0,14850000000.0,1,2,4,4,4,15.0,6.0,135000000.0
39730697,2,29,2024-05-13,98.0,12900000000.0,2,3,3,5,4,4.0,8.1,131632653.0
39232208,1,23,2024-05-13,110.0,49000000000.0,2,1,6,8,8,20.0,9.0,445454545.0
39814960,2,23,2024-05-10,30.0,4800000000.0,2,3,4,2,4,6.0,5.0,160000000.0
39840398,2,1,2024-05-13,30.0,5500000000.0,2,3,3,4,5,6.0,5.0,183333333.0
39653021,2,11,2024-05-13,86.0,25000000000.0,2,0,5,3,3,6.0,5.7,290697674.0
39840389,2,12,2024-05-13,121.0,7800000000.0,2,0,4,4,2,6.0,5.0,64462810.0
29123960,1,10,2024-05-13,130.0,33000000000.0,1,3,4,4,5,6.0,5.0,253846154.0
38697925,1,9,2024-05-13,210.0,365000000000.0,2,1,4,4,3,6.0,8.6,1738095238.0
39840363,2,12,2024-05-13,37.0,3700000000.0,2,3,2,1,2,6.0,5.0,100000000.0
39840344,2,10,2024-05-13,32.0,4150000000.0,2,3,3,4,5,4.0,3.2,129687500.0
39840388,2,4,2024-05-13,48.6,11900000000.0,2,3,4,4,4,6.0,5.4,244855967.0
38704316,2,1,2024-05-13,53.0,8500000000.0,2,3,4,5,4,6.0,11.0,160377358.0
39840093,2,23,2024-05-13,15.0,2750000000.0,2,0,3,3,4,6.0,4.8,183333333.0
39795738,0,11,2024-05-09,90.0,17500000000.0,2,0,4,3,4,6.0,5.0,194444444.0
39840348,2,15,2024-05-13,35.0,5350000000.0,2,3,4,5,6,3.0,3.8,152857143.0
39720176,1,4,2024-05-13,189.0,140000000000.0,2,3,4,4,5,6.0,8.0,740740741.0
39780769,2,23,2024-05-07,56.0,6850000000.0,1,1,4,5,4,3.0,4.5,122321429.0
39720171,1,4,2024-05-13,1300.0,190000000000.0,2,3,4,4,12,6.0,30.0,146153846.0
39163038,0,10,2024-05-08,220.0,55000000000.0,2,3,4,4,4,6.0,5.0,250000000.0
39830965,2,15,2024-05-12,75.0,14500000000.0,2,3,13,13,7,5.0,4.6,193333333.0
39840148,1,1,2024-05-13,120.0,90000000000.0,2,3,4,4,9,10.0,22.0,750000000.0
39674758,2,11,2024-05-13,52.0,5000000000.0,2,2,2,1,5,2.5,3.4,96153846.0
39736346,2,26,2024-05-13,37.0,7000000000.0,2,3,4,4,5,6.0,5.0,189189189.0
39840139,2,29,2024-05-13,90.0,18200000000.0,2,3,28,28,7,2.0,6.1,202222222.0
39840143,2,11,2024-05-13,54.0,10800000000.0,2,3,6,5,5,5.0,4.0,200000000.0
39769997,2,7,2024-05-07,35.0,4550000000.0,1,1,4,4,5,3.0,5.0,130000000.0
39734762,1,15,2024-05-13,50.0,8500000000.0,2,3,4,4,5,6.0,5.0,170000000.0
39543207,2,23,2024-05-04,55.0,10000000000.0,2,3,4,4,6,4.0,4.0,181818182.0
39783569,2,12,2024-05-07,35.0,4050000000.0,2,3,3,4,5,4.0,4.5,115714286.0
39654882,2,11,2024-05-13,30.0,4900000000.0,2,3,3,4,4,2.3,4.69,163333333.0
39534086,2,11,2024-05-13,40.0,6900000000.0,1,3,4,4,5,6.0,3.66,172500000.0
39840370,2,11,2024-05-13,48.0,15500000000.0,2,3,3,3,7,6.0,5.0,322916667.0
39840375,2,29,2024-05-13,108.0,13200000000.0,1,1,4,4,5,2.5,6.0,122222222.0
39646308,2,11,2024-05-13,32.0,4500000000.0,2,3,3,4,5,2.0,4.25,140625000.0
39840109,2,29,2024-05-13,30.0,4650000000.0,2,3,4,4,5,6.0,4.0,155000000.0
39643429,2,11,2024-05-13,32.0,4450000000.0,2,0,3,4,5,2.3,4.0,139062500.0
39840111,2,15,2024-05-13,43.0,7500000000.0,2,1,8,8,5,6.0,3.7,174418605.0
39755403,2,10,2024-05-05,69.0,5800000000.0,2,3,4,3,4,3.0,5.0,84057971.0
39840365,2,1,2024-05-13,57.0,16800000000.0,2,0,4,4,4,6.0,10.0,294736842.0
39287049,1,26,2024-05-13,270.0,150000000000.0,2,3,35,35,10,8.0,7.0,555555556.0
39805081,1,15,2024-05-09,50.0,14200000000.0,2,1,4,4,7,6.0,4.73,284000000.0
39840055,2,28,2024-05-13,92.0,3600000000.0,2,1,2,2,2,3.0,4.54,39130435.0
39065224,0,10,2024-05-07,90.0,14000000000.0,1,1,4,4,5,6.0,5.0,155555556.0
39840318,2,29,2024-05-13,52.0,13200000000.0,2,3,4,3,4,6.0,4.5,253846154.0
39835605,3,12,2024-05-13,110.53,7000000000.0,2,1,4,4,5,6.0,5.0,63331222.0
39647439,2,7,2024-05-13,37.0,5650000000.0,2,3,3,4,5,2.0,4.0,152702703.0
38876924,2,4,2024-05-13,35.0,6980000000.0,2,1,3,4,5,6.0,5.0,199428571.0
39835545,3,12,2024-05-13,153.0,10710000000.0,0,0,4,4,5,40.0,5.0,70000000.0
39669618,2,17,2024-05-13,45.0,1550000000.0,2,0,4,3,5,6.0,5.0,34444444.0
39840046,2,29,2024-05-13,47.0,11000000000.0,2,1,4,4,4,6.0,5.0,234042553.0
39089088,1,26,2024-05-13,242.0,110000000000.0,2,1,40,4,10,40.0,11.0,454545455.0
39840275,2,29,2024-05-13,31.0,6750000000.0,2,3,3,4,4,7.0,3.0,217741935.0
39733029,1,26,2024-05-13,113.0,56000000000.0,2,3,6,6,6,20.0,6.0,495575221.0
39812546,2,15,2024-05-10,54.0,12000000000.0,1,1,6,4,5,6.0,4.1,222222222.0
39818803,2,23,2024-05-11,60.0,9900000000.0,2,3,4,4,4,6.0,5.0,165000000.0
39840283,2,12,2024-05-13,65.0,13700000000.0,2,1,4,4,7,6.0,5.0,210769231.0
39840022,2,10,2024-05-13,32.0,5500000000.0,2,3,4,3,4,6.0,3.2,171875000.0
39817569,1,4,2024-05-11,56.0,15500000000.0,2,1,4,4,5,6.0,5.0,276785714.0
39840277,2,1,2024-05-13,42.0,8600000000.0,2,3,5,5,7,6.0,8.5,204761905.0
39024702,2,23,2024-05-13,150.0,36000000000.0,2,1,8,9,9,5.0,8.0,240000000.0
39079001,3,4,2024-05-13,220.0,36000000000.0,2,1,4,1,1,30.0,12.0,163636364.0
39816230,0,11,2024-05-10,114.0,15500000000.0,2,2,6,5,4,13.5,6.0,135964912.0
39267838,2,1,2024-05-13,120.0,33000000000.0,2,1,4,4,7,20.0,8.0,275000000.0
39828927,2,11,2024-05-12,50.0,10200000000.0,2,3,4,4,5,12.0,4.5,204000000.0
38885208,2,4,2024-05-13,96.0,32000000000.0,2,0,5,6,6,5.0,6.5,333333333.0
39298702,1,1,2024-05-13,83.0,36000000000.0,2,1,4,4,2,6.0,5.5,433734940.0
39069613,2,29,2024-05-13,65.0,29500000000.0,2,1,8,8,8,20.0,6.0,453846154.0
38901692,0,23,2024-05-13,100.0,38000000000.0,2,0,6,7,7,6.0,6.2,380000000.0
39064421,1,29,2024-05-13,139.0,68000000000.0,2,1,4,5,4,25.0,9.0,489208633.0
39298668,2,1,2024-05-13,60.0,22000000000.0,1,1,4,4,4,6.0,6.0,366666667.0
39163158,2,4,2024-05-13,95.0,12900000000.0,2,1,4,4,7,5.0,5.0,135789474.0
39840268,2,11,2024-05-13,45.0,8500000000.0,2,3,4,3,4,6.0,4.0,188888889.0
39297451,2,1,2024-05-13,100.0,50000000000.0,2,1,4,4,11,15.0,6.5,500000000.0
39795202,2,12,2024-05-08,42.0,5690000000.0,2,0,5,4,5,6.0,3.8,135476190.0
39840247,2,7,2024-05-13,60.0,16500000000.0,2,1,4,5,5,10.0,4.0,275000000.0
