pr_id,type_estate,district,posted_date,area,price,legal_document,interior,num_bedrooms,num_bathrooms,num_floors,entrance,frontage,price_per_sqm
36484195,Nhà riêng,Hoàng Mai,2024-05-13,48.5,10500000000.0,Sổ đỏ/ sổ hồng,Khác,6,5,5,3.0,4.0,216494845.0
39493654,Nhà riêng,Hai Bà Trưng,2024-05-13,46.0,4800000000.0,Sổ đỏ/ sổ hồng,Đầy đủ,4,4,4,-1.0,4.5,104347826.0
39840390,Nhà riêng,Thanh Xuân,2024-05-13,45.0,7250000000.0,Sổ đỏ/ sổ hồng,Khác,4,5,4,6.0,3.1,161111111.0
39839960,Nhà mặt phố,Long Biên,2024-05-13,40.0,15000000000.0,Sổ đỏ/ sổ hồng,Khác,-1,-1,-1,9.0,4.7,375000000.0
39840680,Nhà riêng,Ba Đình,2024-05-13,32.0,3400000000.0,Sổ đỏ/ sổ hồng,Đầy đủ,3,3,3,3.0,4.0,106250000.0
39267741,Nhà riêng,Thanh Trì,2024-05-13,34.0,2580000000.0,Sổ đỏ/ sổ hồng,Cơ bản,3,3,4,-1.0,-1.0,75882353.0
39070659,Nhà mặt phố,Tây Hồ,2024-05-08,105.0,37000000000.0,Sổ đỏ/ sổ hồng,Đầy đủ,8,7,7,15.0,5.2,352380952.0
38428554,Nhà riêng,Cầu Giấy,2024-05-14,65.0,13000000000.0,Sổ đỏ/ sổ hồng,Cơ bản,-1,-1,5,-1.0,-1.0,200000000.0
39647756,Nhà mặt phố,Hoàng Mai,2024-05-06,100.0,40000000000.0,Sổ đỏ/ sổ hồng,Đầy đủ,4,4,4,50.0,5.5,400000000.0
39670686,Nhà biệt thự liền kề,Hà Đông,2024-05-14,281.0,103000000000.0,Sổ đỏ/ sổ hồng,Khác,-1,-1,-1,21.0,14.0,366548043.0
39843538,Nhà riêng,Hà Đông,2024-05-14,30.0,5100000000.0,Sổ đỏ/ sổ hồng,Đầy đủ,3,4,5,3.0,3.5,170000000.0
39123586,Nhà mặt phố,Ba Đình,2024-05-14,230.0,89000000000.0,Sổ đỏ/ sổ hồng,Đầy đủ,-1,-1,2,-1.0,8.0,386956522.0
38824601,Nhà biệt thự liền kề,Hà Đông,2024-05-13,55.0,9000000000.0,Sổ đỏ/ sổ hồng,Đầy đủ,4,4,5,12.0,4.5,163636364.0
39443955,Nhà riêng,Hà Đông,2024-05-14,150.0,15200000000.0,Khác,Khác,5,5,4,8.0,4.7,101333333.0
38714608,Nhà riêng,Long Biên,2024-05-14,66.0,17000000000.0,Sổ đỏ/ sổ hồng,Khác,-1,-1,6,-1.0,6.0,257575758.0
39843760,Nhà riêng,Thanh Xuân,2024-05-14,62.0,13500000000.0,Sổ đỏ/ sổ hồng,Đầy đủ,4,3,4,6.0,4.0,217741935.0
39843075,Nhà riêng,Thanh Xuân,2024-05-14,50.0,6550000000.0,Sổ đỏ/ sổ hồng,Đầy đủ,4,5,5,-1.0,4.2,131000000.0
39841447,Nhà riêng,Đống Đa,2024-05-14,33.0,6900000000.0,Sổ đỏ/ sổ hồng,Cơ bản,-1,-1,4,-1.0,-1.0,209090909.0
39834098,Nhà riêng,Bắc Từ Liêm,2024-05-13,36.0,5450000000.0,Sổ đỏ/ sổ hồng,Đầy đủ,3,3,5,3.0,6.0,151388889.0
39703813,Nhà riêng,Cầu Giấy,2024-05-14,62.0,17500000000.0,Sổ đỏ/ sổ hồng,Khác,-1,-1,5,-1.0,-1.0,282258065.0
39843289,Nhà riêng,Bắc Từ Liêm,2024-05-14,62.0,19200000000.0,Sổ đỏ/ sổ hồng,Đầy đủ,6,5,6,-1.0,6.8,309677419.0
37949383,Nhà mặt phố,Cầu Giấy,2024-05-14,60.0,25950000000.0,Sổ đỏ/ sổ hồng,Khác,-1,-1,-1,-1.0,5.1,432500000.0
38441194,Nhà riêng,Đống Đa,2024-05-14,72.0,29000000000.0,Sổ đỏ/ sổ hồng,Khác,-1,8,8,8.0,5.5,402777778.0
37968376,Nhà riêng,Đống Đa,2024-05-14,32.0,4900000000.0,Sổ đỏ/ sổ hồng,Cơ bản,3,4,5,3.0,4.0,153125000.0
39523276,Nhà mặt phố,Hoàn Kiếm,2024-05-09,190.0,170000000000.0,Sổ đỏ/ sổ hồng,Khác,-1,-1,10,-1.0,7.0,894736842.0
39251593,Nhà mặt phố,Đống Đa,2024-05-13,336.0,120000000000.0,Sổ đỏ/ sổ hồng,Khác,-1,-1,4,-1.0,-1.0,357142857.0
