pr_id,type_estate,district,posted_date,area,price,legal_document,interior,num_bedrooms,num_bathrooms,num_floors,entrance,frontage
39858300,Nhà riêng,Cầu Giấy,15/05/2024,"77,3 m²","16,2 tỷ",,Full nội thất cao cấp.,21 phòng,21 phòng,6 tầng,,"12,5 m"
39858164,Nhà biệt thự liền kề,Cầu Giấy,15/05/2024,106 m²,"23,5 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,4 phòng,4 phòng,4 tầng,12 m,"6,6 m"
39858584,Nhà riêng,Hai Bà Trưng,15/05/2024,27 m²,"6,05 tỷ",Sổ đỏ/ Sổ hồng,,3 phòng,4 phòng,5 tầng,,
39687321,Nhà mặt phố,Cầu Giấy,15/05/2024,100 m²,55 tỷ,Sổ đỏ/ Sổ hồng,Đầy đủ,3 phòng,4 phòng,5 tầng,35 m,"6,5 m"
39857825,Nhà riêng,Đông Anh,15/05/2024,100 m²,14 tỷ,Sổ đỏ/ Sổ hồng,,4 phòng,4 phòng,4 tầng,,5 m
39858433,Nhà riêng,Hà Đông,15/05/2024,55 m²,11 tỷ,Sổ đỏ,Đầy đủ,,,5 tầng,15 m,7 m
39832138,Nhà riêng,Thanh Xuân,13/05/2024,37 m²,6 tỷ,Sổ đỏ/ Sổ hồng,Đầy đủ,4 phòng,4 phòng,5 tầng,,4 m
39569236,Nhà biệt thự liền kề,Ba Đình,12/05/2024,236 m²,50 tỷ,Sổ đỏ,Đầy đủ,4 phòng,4 phòng,3 tầng,6 m,15 m
39510807,Nhà riêng,Đống Đa,15/05/2024,42 m²,"6,5 tỷ",,Đầy đủ,3 phòng,5 phòng,6 tầng,,
39568095,Nhà riêng,Hoàng Mai,13/05/2024,30 m²,"3,9 tỷ",Sổ đỏ/ Sổ hồng,Nội thất sang trọng hài hòa.,3 phòng,4 phòng,5 tầng,,2 m
39858362,Nhà riêng,Cầu Giấy,15/05/2024,55 m²,"21,4 tỷ",Sổ đỏ/ Sổ hồng,,,,8 tầng,,"4,1 m"
39858580,Nhà riêng,Cầu Giấy,15/05/2024,85 m²,"20,5 tỷ",,,7 phòng,7 phòng,5 tầng,,"5,5 m"
39778042,Nhà riêng,Đống Đa,07/05/2024,46 m²,7 tỷ,Sổ đỏ/ Sổ hồng,Đầy đủ,5 phòng,5 phòng,6 tầng,,"4,5 m"
39857939,Shophouse/Nhà phố thương mại,Nam Từ Liêm,15/05/2024,163 m²,"9,9 tỷ",Sổ đỏ,Đầy đủ,,,,,
39616486,Nhà riêng,Hoàng Mai,13/05/2024,60 m²,"14,6 tỷ",Sổ đỏ,,4 phòng,4 phòng,4 tầng,8 m,4 m
39421297,Nhà riêng,Hoàng Mai,13/05/2024,45 m²,11 tỷ,Sổ đỏ/ Sổ hồng,,6 phòng,5 phòng,6 tầng,,
39858724,Nhà riêng,Ba Đình,15/05/2024,18 m²,"2,99 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,3 phòng,3 phòng,4 tầng,,
39386885,Nhà riêng,Hoàng Mai,14/05/2024,65 m²,"15,5 tỷ",Sổ đỏ/ Sổ hồng.,,4 phòng,5 phòng,6 tầng,,
39812860,Nhà riêng,Đống Đa,10/05/2024,106 m²,"71,85 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,14 phòng,,,,10 m
39857818,Nhà riêng,Nam Từ Liêm,15/05/2024,77 m²,"18,9 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,19 phòng,19 phòng,8 tầng,3 m,6 m
