pr_id,type_estate,district,posted_date,area,price,legal_document,interior,num_bedrooms,num_bathrooms,num_floors,house_orientation,balcony_orientation,entrance,frontage
39851837,Nhà biệt thự liền kề,Đông Anh,15/05/2024,108 m²,Thỏa thuận,Hợp đồng mua bán.,Không nội thất.,4 phòng,4 phòng,5 tầng,Tây - Nam,Tây - Nam,45 m,"6,5 m"
38028945,Nhà biệt thự liền kề,Cầu Giấy,15/05/2024,300 m²,85 tỷ,Sổ đỏ.,Nội thất đẹp phong cách Châu Âu hiện đại.,6 phòng,4 phòng,5 tầng,,,,18 m
39582072,Nhà mặt phố,Hai Bà Trưng,15/05/2024,100 m²,24 tỷ,Sổ đỏ/ Sổ hồng,Đầy đủ,5 phòng,5 phòng,4 tầng,,,,"6,2 m"
39860030,Nhà riêng,Cầu Giấy,15/05/2024,29 m²,"4,98 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,3 phòng,4 phòng,5 tầng,,,3 m,"3,5 m"
39809090,Nhà mặt phố,Tây Hồ,10/05/2024,"76,3 m²",21 tỷ,Sổ đỏ/ Sổ hồng,,4 phòng,4 phòng,5 tầng,Tây - Nam,Tây - Nam,40 m,5 m
38950378,Nhà riêng,Hoàng Mai,15/05/2024,43 m²,"3,9 tỷ",Sổ đỏ/ Sổ hồng,Cơ bản,3 phòng,3 phòng,4 tầng,,,,
39859479,Nhà riêng,Hà Đông,15/05/2024,55 m²,"8,8 tỷ",Sổ đỏ chính chủ,,5 phòng,,4 tầng,,,,
39859296,Nhà riêng,Hoàng Mai,15/05/2024,"82,5 m²","18,2 tỷ",Sổ đỏ,,4 phòng,4 phòng,5 tầng,,,,"7,2 m"
39860053,Nhà biệt thự liền kề,Hà Đông,15/05/2024,90 m²,"15,5 tỷ",,,,,5 tầng,,,,5 m
39860029,Nhà biệt thự liền kề,Hoàng Mai,15/05/2024,115 m²,Thỏa thuận,Sổ đỏ/ Sổ hồng,Đầy đủ.,4 phòng,5 phòng,,,,15 m,"5,5 m"
39729102,Nhà biệt thự liền kề,Hà Đông,15/05/2024,160 m²,Thỏa thuận,,,,,4 tầng,,,15 m,8 m
39858934,Nhà biệt thự liền kề,Long Biên,15/05/2024,600 m²,Thỏa thuận,Sổ đỏ/ Sổ hồng,,3 phòng,3 phòng,,,,,
39811226,Nhà mặt phố,Long Biên,10/05/2024,92 m²,13 tỷ,Sổ đỏ/ Sổ hồng,,3 phòng,3 phòng,2 tầng,Đông,Đông,10 m,4 m
39859907,Nhà riêng,Cầu Giấy,15/05/2024,82 m²,"16,2 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,4 phòng,4 phòng,7 tầng,,,,"8,8 m"
39858929,Nhà riêng,Hoàng Mai,15/05/2024,28 m²,"3,98 tỷ",Sổ đỏ/ Sổ hồng.,,3 phòng,4 phòng,5 tầng,,,"3,5 m",
38558623,Nhà mặt phố,Long Biên,15/05/2024,170 m²,25 tỷ,Sổ đỏ/ Sổ hồng,Đầy đủ,,,2 tầng,,,,
39858694,Nhà riêng,Thanh Xuân,15/05/2024,41 m²,"5,9 tỷ",Sổ đỏ/ Sổ hồng,,2 phòng,,3 tầng,,,"2,5 m",10 m
39795978,Nhà riêng,Đống Đa,09/05/2024,43 m²,"6,6 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,4 phòng,3 phòng,5 tầng,Đông,Đông,3 m,4 m
39859119,Nhà mặt phố,Ba Đình,15/05/2024,60 m²,"17,5 tỷ",Sổ đỏ,Cơ bản,,,4 tầng,,,,"5,3 m"
39681492,Nhà riêng,Đông Anh,15/05/2024,52 m²,"3,55 tỷ",Sổ đỏ/ Sổ hồng,,4 phòng,,3 tầng,,,,5 m
39858693,Nhà mặt phố,Hai Bà Trưng,15/05/2024,65 m²,Thỏa thuận,Sổ đỏ/ Sổ hồng,Đầy đủ,1 phòng,1 phòng,2 tầng,,,30 m,4 m
39858810,Shophouse/Nhà phố thương mại,Hoàng Mai,15/05/2024,75 m²,32 tỷ,Sổ đỏ/ Sổ hồng,"- Bàn giao full nội thất nhập khẩu: Grohe, Bosch, Kohler, Panasonic, Toto.",,,5 tầng,,,,
39840242,Nhà mặt phố,Long Biên,13/05/2024,100 m²,"28,5 tỷ",,,,,6 tầng,,,,6 m
39838167,Nhà biệt thự liền kề,Hoài Đức,13/05/2024,110 m²,130 triệu/m²,,,,,,,,,
39715983,Nhà mặt phố,Hà Đông,15/05/2024,86 m²,24 tỷ,,,5 phòng,5 phòng,5 tầng,,,,"5,7 m"
39859588,Nhà riêng,Hai Bà Trưng,15/05/2024,33 m²,"4,9 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,3 phòng,4 phòng,5 tầng,,,3 m,4 m
39858121,Nhà mặt phố,Hoàn Kiếm,15/05/2024,160 m²,55 tỷ,Sổ đỏ/ Sổ hồng,Đầy đủ,,,3 tầng,,,,5 m
39711824,Nhà riêng,Hà Đông,09/05/2024,40 m²,Thỏa thuận,Sổ đỏ/ Sổ hồng,,4 phòng,4 phòng,3 tầng,,,,5 m
39755861,Nhà riêng,Hà Đông,15/05/2024,35 m²,"3,05 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,4 phòng,4 phòng,4 tầng,Bắc,Bắc,"2,6 m","3,6 m"
39678149,Nhà riêng,Long Biên,15/05/2024,90 m²,"11,5 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,,,3 tầng,,,,6 m
39732764,Nhà riêng,Đống Đa,14/05/2024,67 m²,"15,5 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,18 phòng,18 phòng,6 tầng,,,3 m,"5,9 m"
38416884,Nhà biệt thự liền kề,Tây Hồ,14/05/2024,237 m²,173 triệu/m²,,Cơ bản,5 phòng,5 phòng,4 tầng,Bắc,,,
38777171,Nhà riêng,Hà Đông,15/05/2024,31 m²,"3,45 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,3 phòng,4 phòng,5 tầng,Đông - Nam,Đông - Nam,"2,5 m","3,5 m"
39858203,Nhà riêng,Tây Hồ,15/05/2024,146 m²,"24,9 tỷ",,,,,8 tầng,,,,
39464697,Nhà mặt phố,Hà Đông,15/05/2024,"90,5 m²","13,2 tỷ",Sổ đỏ/ Sổ hồng,,5 phòng,5 phòng,5 tầng,,,,"5,4 m"
39859871,Nhà riêng,Hoài Đức,15/05/2024,66 m²,"2,85 tỷ",Sổ đỏ,,1 phòng,1 phòng,1 tầng,Đông - Bắc,Đông - Bắc,3 m,"5,3 m"
39854305,Nhà riêng,Cầu Giấy,15/05/2024,60 m²,Thỏa thuận,Sổ đỏ/ Sổ hồng,Đầy đủ,,,7 tầng,,,,"8,8 m"
39859863,Nhà riêng,Hai Bà Trưng,15/05/2024,40 m²,Thỏa thuận,Sổ đỏ/ Sổ hồng,Đầy đủ,4 phòng,3 phòng,4 tầng,,,,
39613296,Nhà riêng,Đống Đa,06/05/2024,44 m²,"13,5 tỷ",,,4 phòng,,5 tầng,,,,"5,2 m"
39528551,Nhà riêng,Long Biên,08/05/2024,53 m²,"4,2 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ.,,,3 tầng,,,,
39682780,Nhà riêng,Hoài Đức,15/05/2024,151 m²,"4,38 tỷ",,,,,2 tầng,,,"3,5 m",7 m
39838127,Nhà riêng,Hai Bà Trưng,13/05/2024,43 m²,"6,8 tỷ",Sổ đỏ/ Sổ hồng,Cơ bản,6 phòng,4 phòng,5 tầng,,,,"4,7 m"
39859310,Nhà riêng,Hai Bà Trưng,15/05/2024,33 m²,"4,95 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,2 phòng,3 phòng,5 tầng,,,,
39363317,Nhà riêng,Long Biên,10/05/2024,43 m²,"2,8 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,,,3 tầng,,,,6 m
39851879,Nhà riêng,Long Biên,14/05/2024,67 m²,"6,35 tỷ",Sổ đỏ/ Sổ hồng,Cơ bản.,3 phòng,,,,,,
38870307,Nhà riêng,Hà Đông,09/05/2024,42 m²,Thỏa thuận,Chuẩn,,5 phòng,6 phòng,7 tầng,,,,4 m
38614077,Nhà biệt thự liền kề,Hoàng Mai,15/05/2024,"112,7 m²",Thỏa thuận,Sổ đỏ/ Sổ hồng.,,,,5 tầng,Bắc,,"13,5 m",5 m
39723046,Nhà mặt phố,Hoàng Mai,15/05/2024,54 m²,"23,8 tỷ",Sổ đỏ/ Sổ hồng.,,6 phòng,6 phòng,6 tầng,,,,5 m
