pr_id,type_estate,district,posted_date,area,price,legal_document,interior,num_bedrooms,num_bathrooms,num_floors,house_orientation,balcony_orientation,entrance,frontage
39853739,Nhà riêng,Hai Bà Trưng,15/05/2024,51 m²,"10,7 tỷ",Sổ đỏ/ Sổ hồng,,,,6 tầng,,,3 m,"4,6 m"
39849430,Nhà riêng,Quốc Oai,14/05/2024,40 m²,"2,35 tỷ",Sổ đỏ/ Sổ hồng,,4 phòng,3 phòng,3 tầng,,,,
39612382,Nhà mặt phố,Cầu Giấy,14/05/2024,110 m²,62 tỷ,,,,,8 tầng,,,,"8,5 m"
39680865,Nhà biệt thự liền kề,Nam Từ Liêm,10/05/2024,283 m²,"60,5 tỷ",Sổ đỏ/ Sổ hồng,,5 phòng,4 phòng,4 tầng,Đông - Bắc,Đông - Bắc,15 m,18 m
39778611,Nhà biệt thự liền kề,Gia Lâm,15/05/2024,150 m²,22 tỷ,Sổ đỏ/ Sổ hồng.,,,,,Đông - Nam,,,"8,5 m"
39836082,Nhà riêng,Cầu Giấy,13/05/2024,"110,2 m²",280 triệu/m²,Sổ đỏ/ Sổ hồng,,,,,,,,
39798113,Nhà biệt thự liền kề,Gia Lâm,09/05/2024,150 m²,23 tỷ,Sổ đỏ/ Sổ hồng.,,,,4 tầng,Đông - Nam,,,10 m
39551056,Shophouse/Nhà phố thương mại,Gia Lâm,09/05/2024,61 m²,"6,6 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,,,,Nam,,30 m,7 m
39795155,Nhà biệt thự liền kề,Hà Đông,08/05/2024,120 m²,18 tỷ,Sổ đỏ/ Sổ hồng,Không nội thất,4 phòng,4 phòng,4 tầng,Đông - Nam,Đông - Nam,"13,5 m",6 m
38850512,Nhà biệt thự liền kề,Hà Đông,07/05/2024,230 m²,Thỏa thuận,Sổ đỏ/ Sổ hồng,,,,,Đông - Nam,,,40 m
39815386,Nhà biệt thự liền kề,Gia Lâm,10/05/2024,240 m²,70 tỷ,,,,,,,,52 m,10 m
39806813,Nhà mặt phố,Bắc Từ Liêm,10/05/2024,"108,5 m²",23 tỷ,Sổ đỏ/ Sổ hồng,Đầy đủ,5 phòng,5 phòng,4 tầng,Đông - Nam,Đông - Nam,30 m,"9,55 m"
39718266,Nhà riêng,Ba Đình,10/05/2024,36 m²,"5,6 tỷ",Sổ đỏ,,,,5 tầng,,,,
""
39738122,Nhà riêng,Đống Đa,12/05/2024,38 m²,"6,8 tỷ",,Nội thất tất cả đều mới tinh xịn,4 phòng,3 phòng,4 tầng,,,,
39662225,Nhà riêng,Quốc Oai,11/05/2024,40 m²,"2,2 tỷ",Sổ đỏ/ Sổ hồng.,,3 phòng,2 phòng,3 tầng,Đông - Nam,,,
38979623,Nhà biệt thự liền kề,Hoài Đức,12/05/2024,100 m²,"13,4 tỷ",Hợp đồng mua bán.,,4 phòng,4 phòng,3 tầng,Đông,,"13,5 m",5 m
""
39827543,Nhà biệt thự liền kề,Hoàng Mai,12/05/2024,157 m²,170 triệu/m²,Sổ đỏ.,,,,,,,,
39755225,Nhà biệt thự liền kề,Long Biên,12/05/2024,162 m²,40 tỷ,Sổ đỏ/ Sổ hồng,Hoàn thiện full nội thất.,,,,,,,
39858482,Nhà riêng,Bắc Từ Liêm,15/05/2024,30 m²,"3,9 tỷ",Sổ đỏ/ Sổ hồng,,,,4 tầng,,,,
39851320,Nhà biệt thự liền kề,Gia Lâm,14/05/2024,"67,5 m²","13,6 tỷ",,,,,,Đông - Nam,,13 m,6 m
39827664,Nhà riêng,Long Biên,12/05/2024,50 m²,"5,8 tỷ",Sổ đỏ/ Sổ hồng,Cơ bản.,4 phòng,3 phòng,4 tầng,,,,5 m
39856508,Nhà riêng,Tây Hồ,15/05/2024,20 m²,"2,79 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,3 phòng,2 phòng,4 tầng,,,6 m,"3,5 m"
39789761,Nhà biệt thự liền kề,Gia Lâm,15/05/2024,192 m²,27 tỷ,Đang chờ sổ,Cơ bản.,5 phòng,4 phòng,3 tầng,,,,
