Unnamed: 0,type_estate,district,price_per_sqm,posted_date,area,price,legal_document,interior,num_bedrooms,num_bathrooms,num_floors,entrance,frontage
140,3,5,~160 triệu/m²,08/05/2024,150.0,24 tỷ,252,294,3,3,4,12.181061122472167,8.5
141,3,8,"~38,94 tỷ",08/05/2024,236.0,165 triệu/m²,139,146,6,6,4,12.181061122472167,6.78865638058502
142,5,27,"~144,74 triệu/m²",07/05/2024,38.0,"5,5 tỷ",139,146,5,6,4,12.181061122472167,6.78865638058502
144,5,12,"~104,05 triệu/m²",08/05/2024,37.0,"3,85 tỷ",252,146,3,3,4,3.0,3.5
145,3,5,,07/05/2024,90.0,Thỏa thuận,252,114,4,3,4,12.181061122472167,7.5
146,3,24,,07/05/2024,330.5,Thỏa thuận,178,146,6,6,4,30.0,6.78865638058502
147,3,5,"~154,05 triệu/m²",07/05/2024,149.3,23 tỷ,252,253,6,6,3,13.0,8.3
148,5,14,"~138,89 triệu/m²",07/05/2024,90.0,"12,5 tỷ",252,294,6,6,7,5.0,4.0
150,5,27,~360 triệu/m²,07/05/2024,100.0,36 tỷ,252,146,6,6,8,12.181061122472167,8.0
151,3,10,"~14,73 tỷ",07/05/2024,107.5,137 triệu/m²,120,146,6,6,5,13.5,5.0
152,3,11,"~348,48 triệu/m²",07/05/2024,198.0,69 tỷ,252,114,5,5,3,40.0,9.0
155,4,1,"~567,74 triệu/m²",07/05/2024,155.0,88 tỷ,251,294,4,4,4,12.181061122472167,7.0
157,6,10,"~373,33 triệu/m²",07/05/2024,75.0,28 tỷ,252,392,5,5,5,19.0,5.0
158,3,11,"~8,17 tỷ",03/05/2024,86.0,95 triệu/m²,139,146,6,6,4,12.181061122472167,6.78865638058502
159,3,8,"~5,12 tỷ",06/05/2024,80.0,64 triệu/m²,252,114,4,6,5,12.0,5.0
160,5,27,"~204,54 triệu/m²",06/05/2024,44.0,9 tỷ,139,146,6,6,4,12.181061122472167,6.78865638058502
161,3,14,"~296,05 triệu/m²",05/05/2024,152.0,45 tỷ,253,94,6,6,5,20.0,8.0
162,5,4,"~239,58 triệu/m²",05/05/2024,48.0,"11,5 tỷ",252,114,6,4,6,5.0,6.7
163,5,10,~210 triệu/m²,04/05/2024,100.0,21 tỷ,120,161,28,6,8,12.181061122472167,6.78865638058502
164,3,13,~50 triệu/m²,03/05/2024,300.0,15 tỷ,133,114,4,4,4,16.5,10.0
165,3,10,"~293,33 triệu/m²",03/05/2024,75.0,22 tỷ,139,146,5,5,5,13.0,5.0
166,3,24,~46 tỷ,02/05/2024,184.0,250 triệu/m²,264,146,5,5,5,40.0,15.0
167,5,24,~172 triệu/m²,14/05/2024,125.0,"21,5 tỷ",139,146,2,6,4,12.181061122472167,8.5
168,3,12,"~299,85 triệu/m²",13/05/2024,400.2,120 tỷ,253,146,7,2,4,20.0,9.0
169,4,1,,14/05/2024,94.0,Thỏa thuận,252,146,6,6,3,12.181061122472167,6.4
170,3,8,"~207,69 triệu/m²",30/04/2024,260.0,54 tỷ,252,61,6,6,4,12.181061122472167,14.6
171,4,7,"~397,77 triệu/m²",07/05/2024,62.85,25 tỷ,252,42,1,1,2,60.0,4.2
172,3,11,"~166,67 triệu/m²",10/05/2024,180.0,30 tỷ,252,114,4,4,4,11.5,9.0
